Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,RowID,case_location,data_as_of,data_loaded_at,Analysis Neighborhoods
100790048,E05,10024463,Medical Incident,03/20/2010,03/19/2010,03/20/2010 03:28:27 AM,03/20/2010 03:29:37 AM,03/20/2010 03:29:48 AM,,03/20/2010 03:35:37 AM,,,Other,03/20/2010 03:39:14 AM,BRODERICK ST/GOLDEN GATE AVE,SF,94115.0,B05,21,4242,3,3,3,True,,1,ENGINE,2.0,5.0,5.0,Western Addition,100790048-E05,POINT (-122.440216 37.77851),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,39.0
160661843,88,16026411,Medical Incident,03/06/2016,03/06/2016,03/06/2016 02:33:34 PM,03/06/2016 02:33:34 PM,03/06/2016 02:34:14 PM,03/06/2016 02:34:22 PM,03/06/2016 02:42:22 PM,03/06/2016 02:59:27 PM,03/06/2016 03:11:58 PM,Code 2 Transport,03/06/2016 03:24:52 PM,HAIGHT ST/MASONIC AVE,San Francisco,94117.0,B05,21.0,4466.0,2,2,2,True,Non Life-threatening,1,MEDIC,1.0,5.0,5.0,Haight Ashbury,160661843-88,POINT (-122.44534 37.77021),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,3.0
72010294,M17,7057804,Medical Incident,07/20/2007,07/20/2007,07/20/2007 06:07:45 PM,07/20/2007 06:08:09 PM,07/20/2007 06:08:15 PM,07/20/2007 06:12:24 PM,07/20/2007 06:12:36 PM,,,Patient Declined Transport,07/20/2007 06:34:17 PM,NEWHALL ST/ARMSTRONG AVE,SF,94124.0,B10,42,6474,3,3,3,True,,1,MEDIC,2.0,10.0,10.0,Bayview Hunters Point,072010294-M17,POINT (-122.39785 37.729427),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,1.0
152011923,E06,15076628,Medical Incident,07/20/2015,07/20/2015,07/20/2015 01:26:23 PM,07/20/2015 01:28:18 PM,07/20/2015 01:28:32 PM,07/20/2015 01:29:31 PM,07/20/2015 01:32:04 PM,,,Code 2 Transport,07/20/2015 01:36:54 PM,ALBION ST/16TH ST,San Francisco,94110.0,B02,6.0,5235.0,3,3,3,True,Potentially Life-Threatening,1,ENGINE,2.0,2.0,8.0,Mission,152011923-E06,POINT (-122.42311 37.764843),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,20.0
71960163,85,7056224,Medical Incident,07/15/2007,07/15/2007,07/15/2007 11:49:11 AM,07/15/2007 11:50:42 AM,07/15/2007 11:50:46 AM,07/15/2007 11:51:07 AM,07/15/2007 11:55:54 AM,,,Patient Declined Transport,07/15/2007 11:59:09 AM,BEACH ST/JONES ST,SF,94133.0,B01,28,1521,3,3,3,True,,1,MEDIC,2.0,1.0,3.0,North Beach,071960163-85,POINT (-122.41726 37.80707),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,23.0
163051729,E02,16121367,Traffic Collision,10/31/2016,10/31/2016,10/31/2016 12:21:11 PM,10/31/2016 12:22:06 PM,10/31/2016 12:22:58 PM,10/31/2016 12:24:41 PM,10/31/2016 12:29:31 PM,,,Code 2 Transport,10/31/2016 12:35:37 PM,FRANCISCO ST/JONES ST,San Francisco,94133.0,B01,28.0,1434.0,2,2,2,True,Non Life-threatening,1,ENGINE,2.0,1.0,2.0,Russian Hill,163051729-E02,POINT (-122.416695 37.804276),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,32.0
102680312,RS1,10085002,Medical Incident,09/25/2010,09/25/2010,09/25/2010 04:36:32 PM,09/25/2010 04:37:51 PM,09/25/2010 04:38:18 PM,09/25/2010 04:39:41 PM,,,,Other,09/25/2010 04:42:05 PM,GEARY ST/POWELL ST,SF,94102.0,B01,1,1323,3,3,3,False,,1,RESCUE SQUAD,3.0,1.0,3.0,Financial District/South Beach,102680312-RS1,POINT (-122.408226 37.78736),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,8.0
222230663,E29,22102527,Structure Fire / Smoke in Building,08/11/2022,08/11/2022,08/11/2022 08:22:53 AM,08/11/2022 08:25:26 AM,08/11/2022 08:25:53 AM,08/11/2022 08:26:02 AM,08/11/2022 08:27:27 AM,,,Fire,08/11/2022 08:49:55 AM,MISSISSIPPI ST/MARIPOSA ST,San Francisco,94107.0,B03,29.0,2431.0,3,3,3,True,Fire,1,ENGINE,1.0,3.0,10.0,Potrero Hill,222230663-E29,POINT (-122.39471 37.763966),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,26.0
82890010,85,8088586,Medical Incident,10/15/2008,10/14/2008,10/15/2008 12:32:12 AM,10/15/2008 12:34:24 AM,10/15/2008 12:34:35 AM,10/15/2008 12:34:52 AM,10/15/2008 12:45:58 AM,10/15/2008 01:06:14 AM,10/15/2008 01:12:49 AM,Code 2 Transport,10/15/2008 01:39:43 AM,TAYLOR ST/EDDY ST,SF,94102.0,B03,1,1453,1,1,2,True,,1,MEDIC,1.0,3.0,6.0,Tenderloin,082890010-85,POINT (-122.41095 37.78414),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36.0
160350223,T03,16013656,Structure Fire / Smoke in Building,02/04/2016,02/03/2016,02/04/2016 01:56:47 AM,02/04/2016 01:56:47 AM,02/04/2016 01:57:27 AM,02/04/2016 01:59:12 AM,,,,Fire,02/04/2016 02:00:39 AM,VAN NESS AVE/JACKSON ST,San Francisco,94109.0,B04,41.0,3153.0,3,3,3,False,Alarm,1,TRUCK,2.0,4.0,3.0,Russian Hill,160350223-T03,POINT (-122.42305 37.793934),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,30.0
222303353,B01,22106197,Medical Incident,08/18/2022,08/18/2022,08/18/2022 09:52:44 PM,08/18/2022 09:53:38 PM,08/18/2022 09:55:19 PM,08/18/2022 09:57:24 PM,08/18/2022 10:04:58 PM,,,Code 3 Transport,08/18/2022 10:06:14 PM,POWELL ST/BUSH ST,San Francisco,94108.0,B01,2.0,1361.0,3,3,3,False,Potentially Life-Threatening,1,CHIEF,2.0,1.0,3.0,Nob Hill,222303353-B01,POINT (-122.40878 37.79016),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,8.0
101400123,75,10043716,Medical Incident,05/20/2010,05/20/2010,05/20/2010 10:38:34 AM,05/20/2010 10:40:45 AM,05/20/2010 10:40:56 AM,05/20/2010 10:41:47 AM,05/20/2010 10:41:17 AM,05/20/2010 11:11:27 AM,05/20/2010 11:30:56 AM,Code 2 Transport,05/20/2010 12:07:20 PM,NAYLOR ST/PRAGUE ST,SF,94112.0,B09,43,6226,3,3,3,True,,1,MEDIC,1.0,9.0,11.0,Excelsior,101400123-75,POINT (-122.4336 37.710815),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,7.0
11680059,M12,1052011,Medical Incident,06/17/2001,06/16/2001,06/17/2001 04:27:23 AM,06/17/2001 04:28:49 AM,06/17/2001 04:29:17 AM,06/17/2001 04:31:00 AM,06/17/2001 04:34:32 AM,,,Other,06/17/2001 04:38:23 AM,BAKER ST/FELL ST,SF,94117.0,B05,21,4252.0,3,3,3,True,,1,MEDIC,2.0,5.0,5.0,Hayes Valley,011680059-M12,POINT (-122.440926 37.773636),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,18.0
50440216,E03,5011904,Alarms,02/13/2005,02/13/2005,02/13/2005 02:02:04 PM,02/13/2005 02:03:04 PM,02/13/2005 02:03:27 PM,02/13/2005 02:05:50 PM,,,,Other,02/13/2005 02:15:50 PM,JONES ST/GOLDEN GATE AVE,SF,94102.0,B03,1,1456,3,3,3,True,,1,ENGINE,3.0,2.0,6.0,Tenderloin,050440216-E03,POINT (-122.412224 37.782074),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36.0
221891429,KM101,22087167,Medical Incident,07/08/2022,07/08/2022,07/08/2022 12:44:30 PM,07/08/2022 12:52:09 PM,07/08/2022 12:53:52 PM,07/08/2022 12:54:22 PM,,,,No Merit,07/08/2022 12:59:58 PM,SUSSEX ST/BEMIS ST/CASTRO ST,San Francisco,94131.0,B06,26,8111,2,3,3,False,Non Life-threatening,1,PRIVATE,2.0,6.0,8.0,Glen Park,221891429-KM101,POINT (-122.43253 37.735855),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,10.0
111920305,54,11063475,Medical Incident,07/11/2011,07/11/2011,07/11/2011 05:37:44 PM,07/11/2011 05:38:49 PM,07/11/2011 05:39:00 PM,,07/11/2011 05:39:29 PM,07/11/2011 06:02:22 PM,07/11/2011 06:21:13 PM,Code 2 Transport,07/11/2011 06:40:58 PM,VAN NESS AVE/TURK ST,SF,94102.0,B02,36,3164,3,3,3,True,,1,MEDIC,1.0,2.0,5.0,Western Addition,111920305-54,POINT (-122.42064 37.78196),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,39.0
22870132,B06,2085092,Structure Fire / Smoke in Building,10/14/2002,10/14/2002,10/14/2002 11:31:03 AM,10/14/2002 11:31:18 AM,10/14/2002 11:31:26 AM,10/14/2002 11:32:52 AM,,,,Other,10/14/2002 11:40:31 AM,SUSSEX ST/BEMIS ST/CASTRO ST,SF,94131.0,B06,26,8111,3,3,3,False,,1,CHIEF,2.0,6.0,8.0,Glen Park,022870132-B06,POINT (-122.43253 37.735855),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,10.0
192133199,E18,19090664,Medical Incident,08/01/2019,08/01/2019,08/01/2019 06:13:33 PM,08/01/2019 06:16:04 PM,08/01/2019 06:16:37 PM,08/01/2019 06:17:32 PM,08/01/2019 06:20:58 PM,,,Code 2 Transport,08/01/2019 06:43:53 PM,34TH AVE/LAWTON ST,San Francisco,94122.0,B08,18.0,7563,2,2,2,True,Non Life-threatening,1,ENGINE,1.0,8.0,4.0,Sunset/Parkside,192133199-E18,POINT (-122.492805 37.75726),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,35.0
41010363,E02,4028827,Structure Fire / Smoke in Building,04/10/2004,04/10/2004,04/10/2004 06:31:57 PM,04/10/2004 06:31:57 PM,04/10/2004 06:32:09 PM,04/10/2004 06:32:42 PM,04/10/2004 06:34:48 PM,,,Other,04/10/2004 06:35:01 PM,BAY ST/MASON ST,SF,94133.0,B01,28,1425,3,3,3,False,,1,ENGINE,2.0,1.0,3.0,North Beach,041010363-E02,POINT (-122.413605 37.80562),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,23.0
2610146,E36,78254,Other,09/17/2000,09/17/2000,09/17/2000 12:43:30 PM,09/17/2000 12:45:59 PM,09/17/2000 12:46:13 PM,09/17/2000 12:47:36 PM,09/17/2000 12:49:03 PM,,,Other,09/17/2000 12:51:31 PM,VALENCIA ST/MARKET ST,SF,94103.0,B02,36,3311,3,3,3,False,,1,ENGINE,1.0,2.0,6.0,Mission,002610146-E36,POINT (-122.42262 37.772503),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,20.0
153640054,B02,15140116,Alarms,12/30/2015,12/29/2015,12/30/2015 12:14:18 AM,12/30/2015 12:16:25 AM,12/30/2015 12:16:32 AM,12/30/2015 12:18:29 AM,12/30/2015 12:22:21 AM,,,Fire,12/30/2015 12:27:23 AM,DOLORES ST/DOLORES TER,San Francisco,94110.0,B02,6.0,5251.0,3,3,3,False,Alarm,1,CHIEF,2.0,2.0,8.0,Castro/Upper Market,153640054-B02,POINT (-122.4261 37.76263),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,20.0
211861523,RC1,21079671,Medical Incident,07/05/2021,07/05/2021,07/05/2021 11:51:31 AM,07/05/2021 11:51:51 AM,07/05/2021 11:52:30 AM,07/05/2021 11:54:10 AM,07/05/2021 11:58:03 AM,,,No Merit,07/05/2021 12:50:53 PM,EDDY ST/MASON ST,San Francisco,94102.0,B03,3.0,1453,E,3,3,True,Potentially Life-Threatening,1,RESCUE CAPTAIN,2.0,3.0,6.0,Tenderloin,211861523-RC1,POINT (-122.40931 37.784348),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36.0
143450714,E34,14122636,Electrical Hazard,12/11/2014,12/10/2014,12/11/2014 07:26:51 AM,12/11/2014 07:28:39 AM,12/11/2014 07:28:49 AM,,,,,Fire,12/11/2014 07:31:32 AM,FULTON ST/39TH AVE,San Francisco,94122.0,B07,34,7261,3,3,3,False,Alarm,1,ENGINE,1.0,7.0,1.0,Outer Richmond,143450714-E34,POINT (-122.49918 37.771885),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,12.0
242320462,M583,24113928,Medical Incident,08/19/2024,08/18/2024,08/19/2024 06:14:39 AM,08/19/2024 06:17:38 AM,08/19/2024 06:20:10 AM,08/19/2024 06:20:37 AM,08/19/2024 06:42:31 AM,08/19/2024 07:09:10 AM,08/19/2024 07:23:23 AM,Code 2 Transport,08/19/2024 07:57:47 AM,FOLSOM ST/THE EMBARCADERO,San Francisco,94105.0,B03,35,2112,2,2,2,True,Non Life-threatening,1,MEDIC,1.0,3.0,6.0,Financial District/South Beach,242320462-M583,POINT (-122.390012346 37.790826949),08/20/2024 03:29:53 AM,08/27/2024 04:11:44 AM,8.0
163632189,KM01,16145463,Medical Incident,12/28/2016,12/28/2016,12/28/2016 01:49:56 PM,12/28/2016 01:51:21 PM,12/28/2016 01:51:33 PM,12/28/2016 01:52:11 PM,12/28/2016 01:58:13 PM,12/28/2016 02:26:53 PM,12/28/2016 02:33:28 PM,Code 2 Transport,12/28/2016 03:12:33 PM,GREEN ST/GOUGH ST,San Francisco,94123.0,B04,38.0,3246,2,2,2,False,Non Life-threatening,1,PRIVATE,1.0,4.0,2.0,Marina,163632189-KM01,POINT (-122.42708 37.7972),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,13.0
123070360,55,12102163,Medical Incident,11/02/2012,11/02/2012,11/02/2012 07:49:33 PM,11/02/2012 07:51:38 PM,11/02/2012 07:52:43 PM,11/02/2012 07:52:56 PM,11/02/2012 08:09:10 PM,11/02/2012 08:30:35 PM,11/02/2012 08:36:43 PM,Code 2 Transport,11/02/2012 08:57:30 PM,GALILEE LN/CLEARY CT/LAGUNA ST,SF,94109.0,B04,3,3323,1,1,2,True,Non Life-threatening,1,MEDIC,1.0,4.0,5.0,Western Addition,123070360-55,POINT (-122.42778 37.783924),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,39.0
42570429,RC2,4071425,Medical Incident,09/13/2004,09/13/2004,09/13/2004 09:59:32 PM,09/13/2004 10:00:44 PM,09/13/2004 10:00:56 PM,09/13/2004 10:01:41 PM,,,,Other,09/13/2004 10:06:43 PM,SANTIAGO ST/14TH AVE,SF,94116.0,B08,A2,736,E,E,3,True,,1,RESCUE CAPTAIN,3.0,8.0,7.0,West of Twin Peaks,042570429-RC2,POINT (-122.47037 37.74516),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,41.0
181463099,89,18061926,Medical Incident,05/26/2018,05/26/2018,05/26/2018 06:32:15 PM,05/26/2018 06:32:15 PM,05/26/2018 06:32:45 PM,05/26/2018 06:32:48 PM,05/26/2018 06:41:40 PM,05/26/2018 07:02:29 PM,05/26/2018 07:29:33 PM,Code 2 Transport,05/26/2018 08:03:17 PM,22ND ST/ALABAMA ST,San Francisco,94110.0,B06,7,545,2,2,2,True,Non Life-threatening,1,MEDIC,2.0,6.0,9.0,Mission,181463099-89,POINT (-122.41127 37.755886),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,20.0
141941588,E18,14067292,Medical Incident,07/13/2014,07/13/2014,07/13/2014 01:33:45 PM,07/13/2014 01:35:05 PM,07/13/2014 01:35:28 PM,07/13/2014 01:36:26 PM,07/13/2014 01:39:23 PM,,,Code 2 Transport,07/13/2014 01:56:30 PM,39TH AVE/LAWTON ST,San Francisco,94122.0,B08,18.0,7624,3,3,3,True,Potentially Life-Threatening,1,ENGINE,1.0,8.0,4.0,Sunset/Parkside,141941588-E18,POINT (-122.49816 37.757023),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,35.0
30980302,M03,3028456,Medical Incident,04/08/2003,04/08/2003,04/08/2003 04:14:48 PM,04/08/2003 04:16:28 PM,04/08/2003 04:17:01 PM,04/08/2003 04:17:39 PM,04/08/2003 04:19:34 PM,04/08/2003 04:34:06 PM,04/08/2003 04:42:32 PM,Other,04/08/2003 04:56:51 PM,TURK ST/JONES ST,SF,94102.0,B03,1,1456,3,3,3,True,,1,MEDIC,1.0,2.0,6.0,Tenderloin,030980302-M03,POINT (-122.412415 37.783005),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36.0
173174009,RC3,17133472,Medical Incident,11/13/2017,11/13/2017,11/13/2017 10:17:23 PM,11/13/2017 10:17:49 PM,11/13/2017 10:18:58 PM,11/13/2017 10:20:11 PM,,,,Code 2 Transport,11/13/2017 10:24:21 PM,HANCOCK ST/NOE ST,San Francisco,94114.0,B05,6.0,5417.0,3,E,3,True,Potentially Life-Threatening,1,RESCUE CAPTAIN,3.0,6.0,8.0,Castro/Upper Market,173174009-RC3,POINT (-122.43272 37.760223),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,5.0
131540028,55,13052026,Medical Incident,06/03/2013,06/02/2013,06/03/2013 02:21:38 AM,06/03/2013 02:24:54 AM,06/03/2013 02:25:10 AM,06/03/2013 02:25:25 AM,06/03/2013 02:39:15 AM,,,No Merit,06/03/2013 02:46:46 AM,EDDY ST/CYRIL MAGNIN ST,SF,94102.0,B03,1,2247,1,1,2,True,Non Life-threatening,1,MEDIC,1.0,3.0,6.0,Tenderloin,131540028-55,POINT (-122.40849 37.784454),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36.0
12620368,E01,1080485,Medical Incident,09/19/2001,09/19/2001,09/19/2001 11:23:36 PM,09/19/2001 11:24:47 PM,09/19/2001 11:24:57 PM,09/19/2001 11:26:39 PM,09/19/2001 11:30:28 PM,,,Other,09/19/2001 11:32:44 PM,ANGELOS ALY/JULIA ST/MISSION ST,SF,94103.0,B02,1,2318,3,3,3,False,,1,ENGINE,2.0,2.0,6.0,South of Market,012620368-E01,POINT (-122.412415 37.778046),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,34.0
33000228,E16,3086218,Electrical Hazard,10/27/2003,10/27/2003,10/27/2003 02:09:53 PM,10/27/2003 02:11:25 PM,10/27/2003 02:11:44 PM,10/27/2003 02:13:18 PM,10/27/2003 02:13:56 PM,,,Other,10/27/2003 02:34:33 PM,STEINER ST/LOMBARD ST,SF,94123.0,B04,16,3566,3,3,3,False,,1,ENGINE,1.0,4.0,2.0,Marina,033000228-E16,POINT (-122.4377 37.799633),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,13.0
83030087,58,8092883,Medical Incident,10/29/2008,10/29/2008,10/29/2008 08:43:01 AM,10/29/2008 08:43:42 AM,10/29/2008 08:44:05 AM,10/29/2008 08:44:11 AM,10/29/2008 08:45:30 AM,10/29/2008 09:10:08 AM,10/29/2008 09:18:07 AM,Code 2 Transport,10/29/2008 09:54:00 AM,TURK ST/MARKET ST/MASON ST,SF,94103.0,B03,1,1365,3,3,3,True,,1,MEDIC,1.0,3.0,6.0,South of Market,083030087-58,POINT (-122.40895 37.783287),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,34.0
223640514,T14,22169439,Alarms,12/30/2022,12/29/2022,12/30/2022 06:36:28 AM,12/30/2022 06:39:15 AM,12/30/2022 06:39:24 AM,12/30/2022 06:41:30 AM,12/30/2022 06:44:35 AM,,,Fire,12/30/2022 06:58:27 AM,32ND AVE/GEARY BLVD,San Francisco,94121.0,B07,14.0,7237.0,3,3,3,False,Alarm,1,TRUCK,2.0,7.0,1.0,Outer Richmond,223640514-T14,POINT (-122.49223 37.779747),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,29.0
132690229,E07,13091385,Medical Incident,09/26/2013,09/26/2013,09/26/2013 02:13:03 PM,09/26/2013 02:14:19 PM,09/26/2013 02:14:31 PM,09/26/2013 02:15:09 PM,09/26/2013 02:17:17 PM,,,Other,09/26/2013 02:21:52 PM,HOFF ST/16TH ST,SF,94103.0,B02,7,5236,3,3,3,True,Potentially Life-Threatening,1,ENGINE,1.0,2.0,9.0,Mission,132690229-E07,POINT (-122.42058 37.764996),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,20.0
231971005,E42,23094370,Medical Incident,07/16/2023,07/16/2023,07/16/2023 10:52:05 AM,07/16/2023 10:52:42 AM,07/16/2023 10:52:57 AM,07/16/2023 11:01:11 AM,07/16/2023 11:01:11 AM,,,Code 3 Transport,07/16/2023 11:06:34 AM,PRINCETON ST/BACON ST,San Francisco,94134.0,B09,42,6345,3,3,3,True,Potentially Life-Threatening,1,ENGINE,1.0,9.0,9.0,Portola,231971005-E42,POINT (-122.41445 37.724792),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,25.0
